X,plot,treat,background,focal,num_comp,num_seeds,fruit_date,Tr,N_acwr,N_femi,N_homu,N_pler,N_saco,N_urli,Log_Seeds,Log_Comp,IsD,IsW
1632,524,D,ACWR,URLI,44,50.86363636,28-Apr,2,44,0,0,0,0,0,3.929148254882117,3.784189633918261,TRUE,FALSE
1633,524,D,ACWR,URLI,23,25.43181818,28-Apr,2,23,0,0,0,0,0,3.236001074322172,3.1354942159291497,TRUE,FALSE
1634,525,D,SACO,URLI,5,305.1818182,28-Apr,2,0,0,0,0,5,0,5.720907724241242,1.6094379124341003,TRUE,FALSE
1635,525,D,SACO,URLI,6,50.86363636,28-Apr,2,0,0,0,0,6,0,3.929148254882117,1.791759469228055,TRUE,FALSE
1636,526,W,FEMI,URLI,50,10,28-Apr,1,0,50,0,0,0,0,2.302585092994046,3.912023005428146,FALSE,TRUE
1637,526,W,FEMI,URLI,150,25.43181818,28-Apr,1,0,150,0,0,0,0,3.236001074322172,5.0106352940962555,FALSE,TRUE
1638,528,W,URLI,URLI,30,25.43181818,28-Apr,1,0,0,0,0,0,30,3.236001074322172,3.4011973816621555,FALSE,TRUE
1639,528,W,URLI,URLI,30,25.43181818,28-Apr,1,0,0,0,0,0,30,3.236001074322172,3.4011973816621555,FALSE,TRUE
1640,528,W,URLI,URLI,30,25.43181818,28-Apr,1,0,0,0,0,0,30,3.236001074322172,3.4011973816621555,FALSE,TRUE
1641,528,W,URLI,URLI,30,25.43181818,28-Apr,1,0,0,0,0,0,30,3.236001074322172,3.4011973816621555,FALSE,TRUE
1642,528,W,URLI,URLI,30,25.43181818,28-Apr,1,0,0,0,0,0,30,3.236001074322172,3.4011973816621555,FALSE,TRUE
1643,528,W,URLI,URLI,30,25.43181818,28-Apr,1,0,0,0,0,0,30,3.236001074322172,3.4011973816621555,FALSE,TRUE
1644,528,W,URLI,URLI,95,25.43181818,28-Apr,1,0,0,0,0,0,95,3.236001074322172,4.553876891600541,FALSE,TRUE
1645,528,W,URLI,URLI,95,25.43181818,28-Apr,1,0,0,0,0,0,95,3.236001074322172,4.553876891600541,FALSE,TRUE
1646,528,W,URLI,URLI,95,25.43181818,28-Apr,1,0,0,0,0,0,95,3.236001074322172,4.553876891600541,FALSE,TRUE
1647,528,W,URLI,URLI,95,25.43181818,28-Apr,1,0,0,0,0,0,95,3.236001074322172,4.553876891600541,FALSE,TRUE
1648,528,W,URLI,URLI,95,25.43181818,28-Apr,1,0,0,0,0,0,95,3.236001074322172,4.553876891600541,FALSE,TRUE
1649,528,W,URLI,URLI,95,25.43181818,28-Apr,1,0,0,0,0,0,95,3.236001074322172,4.553876891600541,FALSE,TRUE
1650,530,W,ACWR,URLI,6,101.7272727,28-Apr,1,6,0,0,0,0,0,4.622295435245459,1.791759469228055,FALSE,TRUE
1651,530,W,ACWR,URLI,16,76.29545455,28-Apr,1,16,0,0,0,0,0,4.334613363121351,2.772588722239781,FALSE,TRUE
1652,531,D,ACWR,URLI,24,25.43181818,28-Apr,2,24,0,0,0,0,0,3.236001074322172,3.1780538303479458,TRUE,FALSE
1653,531,D,ACWR,URLI,20,76.29545455,28-Apr,2,20,0,0,0,0,0,4.334613363121351,2.995732273553991,TRUE,FALSE
1654,531,D,ACWR,URLI,24,178.0227273,28-Apr,2,24,0,0,0,0,0,5.181911223602175,3.1780538303479458,TRUE,FALSE
1655,533,D,URLI,URLI,9,25.43181818,28-Apr,2,0,0,0,0,0,9,3.236001074322172,2.1972245773362196,TRUE,FALSE
1656,533,D,URLI,URLI,9,25.43181818,28-Apr,2,0,0,0,0,0,9,3.236001074322172,2.1972245773362196,TRUE,FALSE
1657,533,D,URLI,URLI,9,25.43181818,28-Apr,2,0,0,0,0,0,9,3.236001074322172,2.1972245773362196,TRUE,FALSE
1658,533,D,URLI,URLI,9,25.43181818,28-Apr,2,0,0,0,0,0,9,3.236001074322172,2.1972245773362196,TRUE,FALSE
1659,533,D,URLI,URLI,9,25.43181818,28-Apr,2,0,0,0,0,0,9,3.236001074322172,2.1972245773362196,TRUE,FALSE
1660,533,D,URLI,URLI,9,25.43181818,28-Apr,2,0,0,0,0,0,9,3.236001074322172,2.1972245773362196,TRUE,FALSE
1661,451,D,URLI,URLI,0,279.75,28-Apr,2,0,0,0,0,0,0,5.633896347192034,-Inf,TRUE,FALSE
1662,451,D,URLI,URLI,0,305.1818182,28-Apr,2,0,0,0,0,0,0,5.720907724241242,-Inf,TRUE,FALSE
1663,451,D,URLI,URLI,0,50.86363636,28-Apr,2,0,0,0,0,0,0,3.929148254882117,-Inf,TRUE,FALSE
1664,442,D,URLI,URLI,0,279.75,28-Apr,2,0,0,0,0,0,0,5.633896347192034,-Inf,TRUE,FALSE
1665,466,W,URLI,URLI,0,127.1590909,28-Apr,1,0,0,0,0,0,0,4.845438986756272,-Inf,FALSE,TRUE
1666,494,D,URLI,URLI,0,101.7272727,28-Apr,2,0,0,0,0,0,0,4.622295435245459,-Inf,TRUE,FALSE
1667,521,D,URLI,URLI,0,76.29545455,28-Apr,2,0,0,0,0,0,0,4.334613363121351,-Inf,TRUE,FALSE
1668,529,W,URLI,URLI,0,1322.454545,28-Apr,1,0,0,0,0,0,0,7.187244792631378,-Inf,FALSE,TRUE
1669,529,W,URLI,URLI,0,712.0909091,28-Apr,1,0,0,0,0,0,0,6.5682055845816345,-Inf,FALSE,TRUE
1670,332,D,URLI,URLI,0,76.29545455,28-Apr,2,0,0,0,0,0,0,4.334613363121351,-Inf,TRUE,FALSE
1671,332,D,URLI,URLI,0,203.4545455,28-Apr,2,0,0,0,0,0,0,5.315442616296914,-Inf,TRUE,FALSE
1672,508,W,URLI,URLI,0,1093.568182,28-Apr,1,0,0,0,0,0,0,6.997201190253488,-Inf,FALSE,TRUE
1673,508,W,URLI,URLI,0,1119,28-Apr,1,0,0,0,0,0,0,7.020190708311925,-Inf,FALSE,TRUE
1674,448,W,URLI,URLI,0,178.0227273,28-Apr,1,0,0,0,0,0,0,5.181911223602175,-Inf,FALSE,TRUE
1675,448,W,URLI,URLI,0,76.29545455,28-Apr,1,0,0,0,0,0,0,4.334613363121351,-Inf,FALSE,TRUE
1676,532,D,URLI,URLI,0,203.4545455,,2,0,0,0,0,0,0,5.315442616296914,-Inf,TRUE,FALSE
1677,532,D,URLI,URLI,0,406.9090909,,2,0,0,0,0,0,0,6.008589796611104,-Inf,TRUE,FALSE
